Species	N	Heteroneme free length µm	Heteroneme width µm	Heteroneme volume µm3	Heteroneme shaft free length µm	Heteroneme shaft width µm	Heteroneme number	Haploneme free length µm	Haploneme width µm	Desmoneme length µm	Desmoneme width µm	Rhopaloneme length µm	Rhopaloneme width µm	Cnidoband length µm	Cnidoband free length µm	Cnidoband width µm	Haploneme row number	Tentacle width µm	Pedicle width µm	Elastic strand width µm	Involucrum length µm	Cnidoband coiledness	Heteroneme elongation	Haploneme elongation	Desmoneme elongation	Rhopaloneme elongation	Heteroneme shaft extension	Heteroneme/Cnidoband length	Total heteroneme volume µm3	Total haploneme volume µm3	log Total nematocyst volume	Haploneme surface area:volume
Lilyopsis fluoracantha	3	157.80±7.77	16.27±1.74	22713.28±5164.46	134.20±13.70	5.30±0.55	28.00±4.62	61.50±3.04	9.17±0.62	20.67±2.43	10.97±0.32	24.57±0.71	6.27±0.62	597.00±38.93	837.53±72.27	102.47±9.02	7	219.57±140.22	23.43±1.20	16.63±2.61	82.07±37.69	1.43±0.20	9.86±0.77	6.77±0.54	1.89±0.24	3.97±0.26	1.19±0.08	0.19±0.01	594072.66±96123.86	250178.89±38244.55	13.62±0.16	0.52±0.03
Lilyopsis medusa	1	40.50	4.30	392.10	25.60	2.80	20.00	26.50	4.20	22.80	13.20	13.00	3.20	254.60	400.60	43.30	7	52.80	44.40	7.70	131.40	1.57	9.42	6.31	1.73	4.06	1.58	0.10	7841.90	23345.58	10.35	1.12
Lychnagalma utricularia	5	79.42±2.05	18.78±1.15	14833.25±1767.39	56.84±2.65	6.20±0.39	580.40±72.75	50.84±4.56	8.84±1.20					2253.50±242.45	22427.70±6709.99	199.54±7.17	19.80±1.98	599.30±97.74	166.00±30.02	79.98±5.96	2150.62±241.03	9.65±2.28	4.31±0.34	5.92±0.47			1.41±0.08	0.00±0.00	8642061.17±1422405.09	4940439.15±1209632.19	16.39±0.14	0.57±0.06
Marrus claudanielis	5	88.20±4.04	22.66±0.61	23809.12±1737.24	60.36±9.02	5.28±0.31	276.40±51.48	44.24±3.73	6.84±0.82	16.04±1.73	10.40±1.20	18.70±1.25	5.44±0.79	5990.86±3634.93	10092.48±2879.48	133.50±11.78	17.20±1.43	299.14±62.36	100.70±15.78	31.58±3.83	22.72±22.72	3.14±0.78	3.90±0.19	6.57±0.29	1.56±0.08	3.68±0.47	1.60±0.25	0.01±0.00	6690249.26±1488301.16	1993627.90±1037304.20	15.87±0.24	0.72±0.07
Marrus orthocanna	1	49.10	12.00	3702.06	40.30	5.80	38.00	31.30	4.00	14.30	8.40	13.80	4.40	691.40	691.40	102.60	16	80.70	38.60	14.30	27.50	1.00	4.09	7.83	1.70	3.14	1.22	0.07	140678.33	45324.43	12.13	1.17
Nanomia sp	11	31.59±2.21	15.16±1.31	4537.73±1154.50	22.40±1.76	4.45±0.47	128.36±51.05	29.99±2.92	5.93±0.56	14.42±1.29	7.14±0.51	15.69±1.57	4.23±0.48	633.65±151.94	2810.52±744.37	106.27±15.75	17.73±1.74	120.47±25.81	56.72±13.27	40.84±14.40	238.72±79.15	4.21±0.19	2.14±0.11	5.17±0.35	2.04±0.11	3.81±0.18	1.43±0.05	0.02±0.00	627963.84±254457.98	380184.45±168164.31	12.94±0.45	0.87±0.07
Nectadamas richardi	1	73.80	14.60	8236.86			6.00	74.40	9.00										9.20	6.70	0.00		5.05	8.27					49421.16		9.02	0.52
Physalia physalis	5						0.00	23.54±1.81	20.96±1.65					724.54±147.97	778.54±236.01	295.34±64.70	29.60±5.45	517.42±169.52	169.66±30.33		0.00	1.04±0.15		1.13±0.04						231908.96±99649.17	12.02±0.41	0.28±0.02
Physonect sp	1	126.30	19.40	24888.94	80.70	6.30	54.00	75.20	9.20	19.50	13.90	31.90	12.50	774.60	783.50	230.50	26	156.80	52.70	32.40	0.00	1.01	6.51	8.17	1.40	2.55	1.57	0.16	1344002.91	283820.19	14.30	0.51
Physophora gilmeri	1	102.00	26.30	36941.23	70.00	7.00	104.00	53.40	9.00					989.00	4638.20	170.60	18	500.00	228.20	42.30	1606.10	4.69	3.88	5.93			1.46	0.02	3841887.52	1167163.94	15.43	0.52
